"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Bounds and Optimal Constructions of Generalized Merge-Convertible Codes for Code Conversion Into LRCs","H. Shi; W. Fang; Y. Gao","State Key Laboratory of Cryptography and Digital Economy Security, the Key Laboratory of Cryptologic Technology and Information Security, Ministry of Education, and the School of Cyber Science and Technology, Shandong University, Qingdao, China; State Key Laboratory of Cryptography and Digital Economy Security, the Key Laboratory of Cryptologic Technology and Information Security, Ministry of Education, and the School of Cyber Science and Technology, Shandong University, Qingdao, China; State Key Laboratory of Cryptography and Digital Economy Security, the Key Laboratory of Cryptologic Technology and Information Security, Ministry of Education, and the School of Cyber Science and Technology, Shandong University, Qingdao, China",IEEE Transactions on Information Theory,"22 Apr 2026","2026","72","5","2841","2860","Error-correcting codes are essential for ensuring fault tolerance in modern distributed data storage systems. However, in practice, factors such as the failure rates of storage devices can vary significantly over time, resulting in changes to the optimal code parameters. To reduce storage cost while maintaining efficiency, Maturana and Rashmi introduced a theoretical framework known as code conversion, which enables dynamic adjustment of code parameters according to device performance. In this paper, we focus exclusively on the bounds and constructions of generalized merge-convertible codes. First, we establish a new lower bound on the access cost when the final code is an  $(r,\delta)$ -LRC. This bound unifies and generalizes all previously known bounds for merge conversion, where the initial and final codes are either LRCs or MDS codes. We then construct a family of access-optimal MDS convertible codes by leveraging subgroups of the automorphism group of a rational function field. It is worth noting that our construction is also per-symbol read access-optimal. Next, We extend our MDS-based construction to design access-optimal convertible codes that enable conversion between  $(r,\delta)$ -LRCs with parameter regimes that have not been previously reported in the literature. Finally, using the parity-check matrix approach, we present a construction of access-optimal convertible codes that enable merge conversion from MDS codes to an  $(r,\delta)$ -LRC. To the best of our knowledge, this is the first explicit optimal construction of code conversion between MDS codes and LRCs. All of our constructions are performed over finite fields whose sizes grow linearly with the code length.","1557-9654","","10.1109/TIT.2026.3668262","National Key Research and Development Program of China(grant numbers:2022YFA1004900,2021YFA1001000); National Natural Science Foundation of China(grant numbers:62571301); Shandong Provincial Natural Science Foundation(grant numbers:ZR2025QA05); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11414173","Generalized convertible codes;access cost;MDS codes; $(r,\delta)$  -locally repairable codes;algebraic geometry codes","Codes;Costs;Lower bound;Matrix converters;Bandwidth;Symbols;Galois fields;Artificial intelligence;Vehicle dynamics;Transforms","","10","","31","IEEE","26 Feb 2026","May 2026","","IEEE","IEEE Journals"
"A Security Model and Implementation of Embedded Software Based on Code Obfuscation","J. Yi; L. Chen; H. Zhang; Y. Li; H. Zhao","University of Electronic Science and Technology of China, Chengdu, China; University of Electronic Science and Technology of China, Chengdu, China; University of Electronic Science and Technology of China, Shanghai Automotive Industry Corporation Technology Center, Shanghai, China; Guangdong Weichen Information Technology Co., Ltd, Guangdong, China; Guangdong Weichen Information Technology Co., Ltd, Guangdong, China","2020 IEEE 19th International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)","9 Feb 2021","2020","","","1606","1613","Current approaches for the security of embedded software mainly focused on some specific platforms. In this paper, a security model based on code obfuscation is applied to embedded software. A control flow flattening algorithm is used to implement an automated obfuscator, which obfuscates C code first, and does source-to-source conversions to protect software on different platforms. The effectiveness of code obfuscation is evaluated by a multi-level quantitative model proposed in this paper. Related experiments are carried out on the NUC140VE3CN board and MC9S12XEPIOOMAG board, which are typical hardware platforms used in the application domain of automotive. The result of experiments shows that for one thing, the quantitative value of the effectiveness of the obfuscated program is obviously higher than that of the original program, namely the strength for software to keep it from being reversed is greater, and the overhead of time and space is acceptable; for another, the efficiency of the evaluation model is also demonstrated.","2324-9013","978-1-6654-0392-4","10.1109/TrustCom50675.2020.00222","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9342980","software security;code obfuscation;embedded system;evaluation model","Privacy;Conferences;Software algorithms;Hardware;Security;Optimization;Embedded software","","1","","28","IEEE","9 Feb 2021","29 Dec.-1 Jan. 2021","29 Dec.-1 Jan. 2021","IEEE","IEEE Conferences"
"Evidence-Based Security in Aerospace: From Safety to Security and Back Again","M. Paulitsch; R. Reiger; L. Strigini; R. Bloomfield","EADS Innovation Works, Munich, Germany; EADS Innovation Works, Munich, Germany; Cass Business School, London, London, GB; Cass Business School, London, London, GB",2012 IEEE 23rd International Symposium on Software Reliability Engineering Workshops,"10 Jan 2013","2012","","","21","22","Security concerns of safety-critical systems increase due to interconnections of systems. This paper tries to outline future security requirements in avionics and issues in assessing the reliability of software from the safety and security perspective. Quantitative work on software reliability has focused on requirements-to-code translation, software security has focused more on requirements correctness. Future work must take advantage of results from both the security and safety areas.","","978-1-4673-5048-8","10.1109/ISSREW.2012.37","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6405409","safety;security;avionics;software assurance","Security;Software;Aircraft;Aerospace electronics;Aerospace safety","","7","","17","IEEE","10 Jan 2013","27-30 Nov. 2012","27-30 Nov. 2012","IEEE","IEEE Conferences"
"Pegasus: Performance Engineering for Software Applications Targeting HPC Systems","P. Pinto; J. Bispo; J. M. P. Cardoso; J. G. Barbosa; D. Gadioli; G. Palermo; J. Martinovič; M. Golasowski; K. Slaninová; R. Cmar; C. Silvano","Department of Informatics Engineering, Faculty of Engineering, University of Porto, Porto, Portugal; Department of Informatics Engineering, Faculty of Engineering, University of Porto, Porto, Portugal; Department of Informatics Engineering, Faculty of Engineering, University of Porto, Porto, Portugal; Department of Informatics Engineering, Faculty of Engineering, University of Porto, Porto, Portugal; Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milano, Italy; Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milano, Italy; IT4Innovations, VSB, Technical University of Ostrava, Ostrava, Czech Republic; IT4Innovations, VSB, Technical University of Ostrava, Ostrava, Czech Republic; IT4Innovations, VSB, Technical University of Ostrava, Ostrava, Czech Republic; Sygic, Bratislava, Slovakia; Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milano, Italy",IEEE Transactions on Software Engineering,"15 Mar 2022","2022","48","3","732","754","Developing and optimizing software applications for high performance and energy efficiency is a very challenging task, even when considering a single target machine. For instance, optimizing for multicore-based computing systems requires in-depth knowledge about programming languages, application programming interfaces (APIs), compilers, performance tuning tools, and computer architecture and organization. Many of the tasks of performance engineering methodologies require manual efforts and the use of different tools not always part of an integrated toolchain. This paper presents Pegasus, a performance engineering approach supported by a framework that consists of a source-to-source compiler, controlled and guided by strategies programmed in a Domain-Specific Language, and an autotuner. Pegasus is a holistic and versatile approach spanning various decision layers composing the software stack, and exploiting the system capabilities and workloads effectively through the use of runtime autotuning. The Pegasus approach helps developers by automating tasks regarding the efficient implementation of software applications in multicore computing systems. These tasks focus on application analysis, profiling, code transformations, and the integration of runtime autotuning. Pegasus allows developers to program their strategies or to automatically apply existing strategies to software applications in order to ensure the compliance of non-functional requirements, such as performance and energy efficiency. We show how to apply Pegasus and demonstrate its applicability and effectiveness in a complex case study, which includes tasks from a smart navigation system.","1939-3520","","10.1109/TSE.2020.3001257","ANTAREX(grant numbers:671623); Fundação para a Ciência e a Tecnologia(grant numbers:SFRH/BD/141783/2018,SFRH/BPD/118211/2016); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9113456","Performance engineering;methodology;high-performance computing;domain-specific languages;source-to-source compilers","Task analysis;Software;Tools;Runtime;Tuning;Power demand;Libraries","","5","","61","IEEE","10 Jun 2020","1 March 2022","","IEEE","IEEE Journals"
"Go Fast: GPU Optimizer for FPGA-LUT Approximate Simulation and Tuning","O. Barros; I. Freitas; P. Coura; J. A. M. Nacif; R. Ferreira; A. Alcolea; M. Villarroya-Gaudó; J. Resano","Universidade Federal de Viçosa, Brazil; Universidade Federal de Viçosa, Brazil; Universidade Federal de Viçosa, Brazil; Universidade Federal de Viçosa, Brazil; Universidade Federal de Viçosa, Brazil; Dept. de Informatica e Ingenieria de Sistemas, Instituto de Investigación en Ingeniería de Araggemaón, Universidad de Zaragoza, Spain; Dept. de Informatica e Ingenieria de Sistemas, Instituto de Investigación en Ingeniería de Araggemaón, Universidad de Zaragoza, Spain; Dept. de Informatica e Ingenieria de Sistemas, Instituto de Investigación en Ingeniería de Araggemaón, Universidad de Zaragoza, Spain",2025 XV Symposium on Computing Systems Engineering (SBESC),"16 Dec 2025","2025","","","1","6","This paper introduces Go-Fast, a novel approach that accelerates the simulation and optimization of LUT-based FPGA circuits using GPUs. Unlike previous GPU-based simulators that target general digital circuits with event-driven approaches, Go-Fast employs batch simulation techniques specifically optimized for approximate computing scenarios. The system utilizes both data parallelism to execute testbenches across numerous threads and structural parallelism for simultaneous simulation and logic pruning. Go-Fast fully exploits GPU architectural features by maximizing register usage, minimizing memory access, and allocating more work per thread. This domain-specific approach generates efficient source-to-source CUDA code that achieves significant performance improvements: five orders of magnitude over the Verilator simulator and two to three orders over optimized multi-core implementations.","2324-7894","979-8-3315-5439-2","10.1109/SBESC68008.2025.11288900","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11288900","FPGA simulation;GPU acceleration;Batch simulation;Approximate computing;Source-To-source CUDA","Systematics;Instruction sets;Approximate computing;Graphics processing units;Parallel processing;Systems engineering and theory;Table lookup;Logic;Field programmable gate arrays;Tuning","","","","37","IEEE","16 Dec 2025","24-27 Nov. 2025","24-27 Nov. 2025","IEEE","IEEE Conferences"
"VERT: Polyglot Verified Equivalent Rust Transpilation with Large Language Models","A. Z. H. Yang; Y. Takashima; B. Paulsen; J. Dodds; D. Kroening",Amazon Web Services; Yale Law School; Amazon Web Services; Amazon Web Services; Amazon Web Services,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),"28 Jan 2026","2025","","","1453","1463","Rust is a programming language that combines memory safety and low-level control, providing C-like performance while guaranteeing the absence of undefined behaviors by default. Rust’s growing popularity has prompted research on correct and idiomatic transpiling of existing code-bases to Rust. Existing work falls into two categories: rule-based and large language model (LLM)-based. While rule-based approaches are theoretically sound, they often yield unidiomatic and unsafe Rust code, and are limited to few source languages, which hinders maintainability and industrial application. By contrast, LLM-based approaches, while providing no guarantees, are polyglot and typically produce more idiomatic and safe Rust code. In this work, we present VERT, a formally correct, polyglot Rust translator with more idiomatic outputs. VERT supports any language that compiles to Web Assembly. Using the Web Assembly compiler, VERT obtains an oracle Rust program. Leveraging the LLM, VERT generates an idiomatic candidate Rust program. This candidate is verified against the oracle with model-checking to ensure equivalence.","2643-1572","979-8-3503-5733-2","10.1109/ASE63991.2025.00123","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11334597","large language models;rust;program transpilation;program verification","Computer languages;Program processors;Codes;Translation;Large language models;Webassembly;Safety;Security;Formal verification","","2","","52","IEEE","28 Jan 2026","16-20 Nov. 2025","16-20 Nov. 2025","IEEE","IEEE Conferences"
"MERIT: A Multi-Signal Repair Framework for Code Translation with Large Language Models","J. Guo","School of Artificial Intelligence and Automation, Huazhong University of Science and Technology, Wuhan, China",2026 7th International Conference on Big Data & Artificial Intelligence & Software Engineering (ICBASE),"29 Jul 2026","2026","","","597","605","Code translation converts source code from one programming language to another while preserving functional behavior, and is critical for legacy migration and cross-platform development. Recent prompt-based LLM approaches such as UniTrans and TRANSAGENT show promise, but their repair stage relies almost exclusively on runtime test feedback, which is insufficient for diagnosing uncompilable code or silent structural errors. We propose MERIT (Multi-Signal Error Repair via Intelligent Translation), a repair framework that jointly exploits four complementary signals: abstract syntax tree (AST) structural comparison against a same-language reference, a language knowledge base, error pattern matching, and LLM self-reflection. Across TransCoder and HumanEval-X, six translation directions among Python, Java, and C++, and five LLMs of varying capability (Claude Sonnet 4.6, Grok-4, Grok-3, GPT-4.1, and CodeLlama-7B), MERIT consistently improves every model, yielding relative gains of $\mathbf{1. 3 \% - 1 3. 1 \%}$ in compilation accuracy ($\boldsymbol{C A}$) and $\mathbf{1. 3 \% - 2 5. 7 \%}$ in execution accuracy $(E A)$, and it outperforms the single-signal baseline UniTrans by 3.0-3.6 percentage points on CodeLlama-7B under identical settings. A leave-one-out ablation, an ordersensitivity incremental ablation, and an error-cause analysis jointly confirm that the four signals are complementary and nonredundant. Multi-signal repair is therefore substantially more effective than single-signal repair, and MERIT is model-agnostic and easy to deploy.","","979-8-3195-4190-1","10.1109/ICBASE70763.2026.11619379","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11619379","abstract syntax tree;code translation;large language models;program repair;prompt engineering","Modeling;Maintenance engineering;Translation;Codes;Magneto electrical resistivity imaging technique;Testing;Large language models;Printing;Python;Reflection","","","","23","IEEE","29 Jul 2026","12-14 June 2026","12-14 June 2026","IEEE","IEEE Conferences"
"Milo: Attacking Deep Pre-trained Model for Programming Languages Tasks with Anti-analysis Code Obfuscation","L. Song; S. H. H. Ding",Queen’s University; Queen’s University,"2023 IEEE 47th Annual Computers, Software, and Applications Conference (COMPSAC)","2 Aug 2023","2023","","","586","594","Deep neural networks, especially pre-trained BERT models, have been widely applied in programming language processing tasks and achieved promising results. Their down-stream applications such as code clone detection and code search play a crucial role in data-driven security solutions such as vulnerability analysis. However, the resilience of these models against anti-analysis attacks remains unexplored. Therefore, we try to investigate whether deep neural networks can remain the same performance on different types of code change and what types of biases are introduced in the learning process.We introduce a new code obfuscation tool, a Multi-programming-language Obfuscator (Milo), for programming language processing tasks. Milo can be used to generate adversarial data to verify the model’s generalizability and robustness against code obfuscations. Milo supports five obfuscation methods: variable renaming, method renaming, string splitting, operation substitution, and control flow shuffling on three mainstream programming languages including Java, Python, and JavaScript. It is designed to apply anti-analysis obfuscation techniques across different programming languages that alter the syntactic and semantic features of a code snippet. To better quantify the adverse effects of anti-analysis techniques on pre-trained models for programming languages, we have performed extensive experiments across several pre-trained models, BERT, CodeBERT, and GraphCodeBERT with four downstream tasks which are code documentation generation, code clone detection, code search, and code translation. Our results indicate that most pre-trained BERT models are susceptible to code obfuscations and rely heavily on the literal representations (name or string) of the code segment.","0730-3157","979-8-3503-2697-0","10.1109/COMPSAC57700.2023.00084","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10197074","Obfuscation;PLP;Anti-analysis;BERT","Training;Computer languages;Codes;Bit error rate;Semantics;Cloning;Artificial neural networks","","1","","21","IEEE","2 Aug 2023","26-30 June 2023","26-30 June 2023","IEEE","IEEE Conferences"
"A Code and Rate Equivalence Between Secure Network and Index Coding","L. Ong; B. N. Vellambi; J. Kliewer; P. L. Yeoh","School of Electrical Engineering and Computing, The University of Newcastle, Callaghan, NSW, Australia; College of Engineering and Applied Science, University of Cincinnati, Cincinnati, OH, USA; Department of Electrical & Computer Engineering, New Jersey Institute of Technology, Newark, NJ, USA; School of Electrical and Information Engineering, University of Sydney, Sydney, NSW, Australia",IEEE Journal on Selected Areas in Information Theory,"17 Mar 2021","2021","2","1","106","120","Establishing code equivalences between index coding and network coding provides important insights for code design. Previous works showed an equivalence relation between any index-coding instance and a network-coding instance, for which a code for one instance can be translated to a code for the other instance with the same decoding-error performance. The equivalence also showed a surprising result that any network-coding instance can be mapped to an index-coding instance with a properly designed code translation. In this article, we extend the existing equivalence (instance map and code translation) to one between secure index coding and secure network coding, where eavesdroppers are present in the network. In the secure setting, any code construction needs to guarantee security constraints in addition to decoding-error performance. A rate equivalence between these two problems is also established.","2641-8770","","10.1109/JSAIT.2021.3054847","Australian Research Council Discovery Scheme(grant numbers:DP190100770); U.S. National Science Foundation(grant numbers:CCF-1908756,CNS-1815322,CNS-1526547); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9336652","Code equivalence;Index coding;network coding;secure communications;wiretap","Indexes;Network coding;Decoding;Receivers;Security;Channel coding;Communication system security","","7","","24","IEEE","27 Jan 2021","March 2021","","IEEE","IEEE Journals"
"An OpenMP Based Parallelization Compiler for C Applications","H. Arabnejad; J. Bispo; J. G. Barbosa; J. M.P. Cardoso","Faculty of Engineering, University of Porto; Faculty of Engineering, University of Porto; LIACC, University of Porto; Faculty of Engineering, University of Porto","2018 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Ubiquitous Computing & Communications, Big Data & Cloud Computing, Social Computing & Networking, Sustainable Computing & Communications (ISPA/IUCC/BDCloud/SocialCom/SustainCom)","21 Mar 2019","2018","","","915","923","Directive-drive programming models, such as OpenMP, are one solution for exploiting the potential of multicore architectures, and enable developers to accelerate software applications by adding annotations on for-type loops and other code regions. However, manual parallelization of applications is known to be a non trivial and time consuming process, requiring parallel programming skills. Automatic parallelization approaches can reduce the burden on the application development side. This paper presents an OpenMP based automatic parallelization compiler, named AutoPar-Clava, for automatic identification and annotation of loops in C code. By using static analysis, parallelizable regions are detected, and a compilable OpenMP parallel code from the sequential version is produced. In order to reduce the accesses to shared memory by each thread, each variable is categorized into the proper OpenMP scoping. Also, AutoPar-Clava is able to support reduction on arrays, which is available since OpenMP 4.5. The effectiveness of AutoPar-Clava is evaluated by means of the Polyhedral Benchmark suite, and targeting a N-cores x86-based computing platform. The achieved results are very promising and compare favorably with closely related auto-parallelization compilers such as Intel C/C++ Compiler (i.e., icc), ROSE, TRACO, and Cetus.","","978-1-7281-1141-4","10.1109/BDCloud.2018.00135","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8672334","Automatic Parallelization;Source-to-source Compilation;Parallel Programming;Static Analysis","Arrays;Instruction sets;Parallel programming;Indexes;Tools;Static analysis;Benchmark testing","","3","","25","IEEE","21 Mar 2019","11-13 Dec. 2018","11-13 Dec. 2018","IEEE","IEEE Conferences"
"A Study of the Performance of Multifluid PPM Gas Dynamics on CPUs and GPUs","P. -H. Lin; J. Jayaraj; P. R. Woodward","Laboratory for Computational Science and Engineering, University of Minnesota, Minneapolis, U.S.A; Laboratory for Computational Science and Engineering, University of Minnesota, Minneapolis, U.S.A; Laboratory for Computational Science and Engineering, University of Minnesota, Minneapolis, U.S.A",2011 Symposium on Application Accelerators in High-Performance Computing,"29 Sep 2011","2011","","","42","51","The potential for GPUs and many-core CPUs to support high performance computation in the area of computational fluid dynamics (CFD) is explored quantitatively through the example of the PPM gas dynamics code with PPB multi fluid volume fraction advection. This code has already been implemented on the IBM Cell processor and run at full scale on the Los Alamos Roadrunner machine. This implementation has involved a complete restructuring of the code that has been described in detail elsewhere. Here the lessons learned from that work are exploited to take advantage oftoday's latest generations of multi-core CPUs and many-core GPUs. The operations performed by this code are characterized in detail after being first decomposed into a series of individual code kernels to allow an implementation on GPUs. Careful implementations of this code for both CPUs and GPU sare then contrasted from a performance point of view. In addition, a single kernel that has many of the characteristics of the full application on CPUs has been built into a full, standalone, scalable parallel application. This single-kernel application shows the GPU at its best. In contrast, the full multi fluid gas dynamics application brings into play computational requirements that highlight the essential differences in CPU and GPU designs today and the different programming strategies needed to achieve the best performance for applications of this type on the two devices. The single kernel application code performs extremely well on both platforms. This application is not limited by main memory bandwidth on either device instead it is limited only by the computational capability of each. In this case, the GPU has the advantage, because it has more computational cores. The full multi fluid gas dynamics code is, however, of necessity memory bandwidth limited on the GPU, while it is still computational capability limited on the CPU. We believe that these codes provide a useful context for quantifying the costs and benefits of design decisions for these powerful new computing devices. Suggestions for improvements in both devices and codes based upon this work are offered in our conclusions.","2166-515X","978-1-4577-0635-6","10.1109/SAAHPC.2011.27","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6031562","GPGPU;multicore CPU;high-performance computing;exascale computing;computational fluid dynamics;parallel programming;source-to-source transformation","Graphics processing unit;Kernel;Message systems;Performance evaluation;Engines;Workstations;Arrays","","","","21","IEEE","29 Sep 2011","19-21 July 2011","19-21 July 2011","IEEE","IEEE Conferences"
"ShadObf: A C-Source Obfuscator Based on Multi-objective Optimisation Algorithms","B. Bertholon; S. Varrette; S. Martinez","University of Luxembourg, CSC Research Unit; University of Luxembourg, CSC Research Unit; Université Européenne de Bretagne, Institut Mines-Télécom","2013 IEEE International Symposium on Parallel & Distributed Processing, Workshops and Phd Forum","31 Oct 2013","2013","","","435","444","The development of the new Cloud Computing paradigm as lead to a reevaluation of the security issues. When running a private code on a Public Cloud or on any remote machine, its owner has no guarantees that the code cannot be reverse engineered, understood and modified. One of the solutions for the code owner in order to protect his intellectual property is to obfuscate his algorithms. The obfuscation of source code is a mechanism to modify a source code to make it unintelligible by humans even with the help of computing resources. More precisely, the objective is to conceal the purpose of a program or its logic without altering its functionality, thus preventing the tampering or the reverse engineering of the program. Obfuscation is usually performed by applying transformations to the initial source code, but it reveals many open questions: what transformation should be chosen? In which order should the obfuscator apply them? How can we quantify the obfuscation capacity of a given program? In order to answer these questions, we propose here ShadObf, an obfuscation framework based on evolutionary heuristics designed to optimise for a given input C program, the sequence of transformations that should be applied to the source code to improve its obfuscation capacity. This last measure involves the combination of well known metrics, coming from the Software Engineering area, which are optimised simultaneously thanks to Multi Objective Evolutionary Algorithms. We have validated our approach over a classical matrix multiplication program - experiments on other applications are still in progress.","","978-0-7695-4979-8","10.1109/IPDPSW.2013.234","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6650916","Evolutionary Algorithm;Multi Objective Evolutionary Algorithm;Software Obfuscation;Source-to-source Compilation;NSGA-II;PIPS;Python;C","Complexity theory;Measurement;Sociology;Statistics;Evolutionary computation;Data structures;Software","","8","","15","IEEE","31 Oct 2013","20-24 May 2013","20-24 May 2013","IEEE","IEEE Conferences"
"RUSTY: Effective C to Rust Conversion via Unstructured Control Specialization","X. Han; B. Hua; Y. Wang; Z. Zhang","School of Software Engineering, University of Science and Technology of China, China; School of Software Engineering, University of Science and Technology of China, China; School of Software Engineering, University of Science and Technology of China, China; School of Software Engineering, University of Science and Technology of China, China","2022 IEEE 22nd International Conference on Software Quality, Reliability, and Security Companion (QRS-C)","30 Mar 2023","2022","","","760","761","Rust is an emerging programming language designed for both performance and security, and thus many research efforts have been conducted recently to migrate legacy code bases in C/C++ to Rust to exploit Rust's safety benefits. Unfortunately, prior studies on C to Rust conversion still have three limitations: 1) complex structure; 2) code explosion; and 3) poor performance. These limitations greatly affect the effectiveness and usefulness of such conversions. This paper presents Rusty, the first system for effective C to Rust code conversion via unstructured control specialization. The key technical insight of Rusty is to implement C-style syntactic sugars on top of Rust, thus eliminating the discrepancies between the two languages. We have implemented a software prototype for Rusty and conducted experiments to evaluate the effectiveness and testify the usefulness of it by applying Rusty to micro-benchmarks, as well as 3 real-world C projects: 1) Vim; 2) cURL; and 3) the silver searcher. And experimental results demonstrated that Rusty is effective in eliminating unstructured controls, reducing the code size by 16% on average with acceptable overhead (less than 61 microseconds per line of C code).","2693-9371","979-8-3503-1991-0","10.1109/QRS-C57518.2022.00122","National Natural Science Foundation of China(grant numbers:62072427,12227901); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10076938","Rust security;code conversion;control specialization","Silver;Codes;Prototypes;Software quality;Syntactics;Explosions;Software reliability","","3","","11","IEEE","30 Mar 2023","5-9 Dec. 2022","5-9 Dec. 2022","IEEE","IEEE Conferences"
"Code migration concealment by interleaving dummy segments","S. Kobayashi; S. Morigaki; E. Nelson; K. Kashiwagi; Y. Higami; F. Fukuda","Department of Computer Science, Ehime University, Ehime, Japan; Department of Computer Science, Ehime University, Ehime, Japan; Department of Computer Science, Ehime University, Ehime, Japan; Department of Computer Science, Ehime University, Ehime, Japan; Department of Computer Science, Ehime University, Ehime, Japan; Bothell Computing and Software Systems, University of Washington, Bothel, WA, USA","PACRIM. 2005 IEEE Pacific Rim Conference on Communications, Computers and signal Processing, 2005.","17 Oct 2005","2005","","","269","272","Currently there is no effective security solution for the grid computing code migration process. Computing objects must be concealed from conspiring computers misusing personal or otherwise classified information. Many techniques attempt object concealment, but in consideration of their failures it is proposed that by combining dummy code insertion and program division and decentralization methods the effect of concealment increases. By interleaving multiple segments from different programs and inserting dummy code, purpose of processing is concealed. By using at least one unanimously trustworthy computer to handle the interleaving process, conspiring computers lacks necessary information for analysis.","2154-5952","0-7803-9195-0","10.1109/PACRIM.2005.1517277","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1517277","","Interleaved codes;Weather forecasting;Grid computing;Programming profession;Information security;Information analysis;Proposals;Temperature;Software systems;Hardware","","","","3","IEEE","17 Oct 2005","24-26 Aug. 2005","24-26 Aug. 2005","IEEE","IEEE Conferences"
"Designing of SPF based secure web application using forward engineering","N. Pathak; G. Sharma; B. M. Singh","BVICAM, New Delhi, INDIA; Departments of CS&E, Govt. of NCT, Delhi, INDIA; Department of CS&E, College of Engineering Roorkee, INDIA",2015 2nd International Conference on Computing for Sustainable Global Development (INDIACom),"4 May 2015","2015","","","464","469","In this paper, we propose model driven software development and Security Performance Framework Model to maintain the balance between security and performance for web applications. We know the large scale enterprise web applications are naturally complex and rigid to maintain. To deal with this complexity of web applications, we propose OMG's UML modeling language for forward engineering and SPF based software engineering practices to improve the performance of web applications. Model driven development approaches focus on software automation with generators that translate models into code. One of the major difficulties in developing web applications with object-oriented modeling is to translate a designed model into code that satisfies required real-time performance. We propose a method of automatic code synthesis ensuring that the synthesized code to be efficient enough to use the minimal amount of resources such as CPU time and memory. For implementation of Security Performance framework based trusted operating system, we propose object oriented based Code translation through forward engineering for the same web application. The goal of this paper is to demonstrate a process in which such translation can be formally verified. In this paper, we propose SPF based code verification and object oriented design process for web applications.","","978-9-3805-4416-8","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7100293","Object-oriented design methods;UML specification;Code generation;Model driven software development;TOS -Trusted Operating System","Unified modeling language;Security;Object oriented modeling;Operating systems;Computers;Computational modeling","","","","22","","4 May 2015","11-13 March 2015","11-13 March 2015","IEEE","IEEE Conferences"
